X,Y,OBJECTID,ID,STATUS,REASON,ROAD,DESCRIPTION,SUBURB,UPDATETIME,TMR,LOCATION,SOURCE,GlobalID
17027079.13,-3146941.851,1,BUR_031,Open,Flooded,Callaghan Road,at Little Burpengary Creek,NARANGBA,2022/02/28 06:45:00+00,0,Callaghan Road,DWCP,0890537c-d034-4fca-857b-65d54ca5cc03
17037860.01,-3127794.363,2,PUM_017,Open,Flooded,Pumicestone Road,east of Volz Road intersection,TOORBUL,2020/02/26 05:00:00+00,0,Pumicestone Road,DWCP,1ea0caca-4f10-4886-aa92-659795bbd18a
17037005.36,-3135978.602,3,CAB_068,Open,Flooded,Wallace Road,,BEACHMERE,2022/03/03 03:50:00+00,0,Wallace Road,DWCP,28bdadc5-caf3-4804-8a9b-3c6ef45f8354
17022654.77,-3138605.896,4,CAB_074,Open,Flooded,Petersen Road,at Sheepstation Creek,MORAYFIELD,2022/02/28 09:00:00+00,0,Petersen Road,DWCP,8adb9226-d83a-40da-a5ef-cfa9c26930b5
17033527.83,-3148820.024,5,HAY_026,Open,Flooded,Lipscombe Road,near Boundary Road,DECEPTION BAY,2022/02/27 11:30:00+00,0,Lipscombe Road,DWCP,fe2433f8-39ec-4651-9ffe-c18a73288898
17030541.69,-3150265.804,6,HAY_009,Open,Flooded,Old Gympie Road,near Boundary Road,DAKABIN,2020/02/26 05:00:00+00,0,Old Gympie Road,DWCP,7a1d9388-f470-49be-ac62-93532996ff12
17036351.96,-3154407.057,7,HAY_007,Open,Flooded,Maryvale Road, ,MANGO HILL,2022/10/23 09:40:00+00,0,Maryvale Road,DWCP,cbd4ed06-6d69-4c5a-9775-b20334651712
17034833.11,-3157635.432,8,LPR_024,Open,Flooded,Dohles Rocks Road,near Cairns Road,GRIFFIN,2022/03/03 06:20:00+00,0,Dohles Rocks Road,DWCP,283e95ad-36ec-44ee-944c-cfd218a05a64
17027053.43,-3136819.58,9,CAB_042,Open,Flooded,Buchanan Road,near Kirkcaldy Street,MORAYFIELD,2022/05/23 09:00:00+00,0,Buchanan Road,DWCP,928e96d7-6b17-4973-a208-82aeec019656
17017402.52,-3141134.726,10,CAB_085,Open,Flooded,Moorina Road,near F Lindsay Road,MOORINA,2022/05/11 13:20:00+00,0,Moorina Road,DWCP,60fff14c-013b-457f-8eba-eac7f4c8b8d7
17019259.34,-3133717.101,11,CAB_061,Open,Flooded,Stern Road, ,BELLMERE,2022/05/13 09:30:00+00,0,Stern Road,DWCP,27f7b68a-31ea-4d6e-bd75-081ce21f7fcc
17007614.31,-3113509.578,12,STA_026,Open,Flooded,Mccabe Road,at Cove Road,STANMORE,2022/07/23 19:50:00+00,0,Mccabe Road,DWCP,0a047f10-c8c0-42ad-a944-50b357b2de05
16999848.36,-3117817.124,13,STA_015,Open,Flooded,Neurum Road, ,NEURUM,2022/05/13 18:45:00+00,0,Neurum Road,DWCP,2eb7a58a-c720-4143-84db-d97b3ab88a95
17027192.41,-3139282.024,14,CAB_065,Open,Flooded,Lindsay Road,near Anderson Road,MORAYFIELD,2020/02/26 05:00:00+00,0,Lindsay Road,DWCP,64e0f78a-ba52-43e1-871d-577cc12d092d
17023854.01,-3134692.522,15,CAB_080,Open,Flooded,River Drive,at Bellmere Road,BELLMERE,2020/02/26 05:00:00+00,0,River Drive,DWCP,b29629ca-225b-4101-a884-57d40056c6b9
17029394.94,-3151735.213,16,HAY_025,Open,Flooded,Alma Road,between Thompson Road & Marsden Road,DAKABIN,2020/02/26 05:00:00+00,0,Alma Road,DWCP,d3093bee-9005-4a1f-8e1f-33c6f6da0c54
17020974.68,-3136870.114,17,CAB_022,Open,Flooded,Tinney Road,at Caboolture River Road,UPPER CABOOLTURE,2022/10/23 02:26:00+00,0,Tinney Road,DWCP,1e6e965c-83cb-44e3-bf9c-9d9c099efa1c
17035574.47,-3128249.094,18,PUM_002,Open,Flooded,Hume Road,near Bonney Road,TOORBUL,2022/03/02 06:50:00+00,0,Hume Road,DWCP,71a28776-a490-43d6-b815-8604e4a17a7c
17010529.97,-3165462.44,19,LPR_047,Open,Flooded,Kirk Road, ,CEDAR CREEK,2022/02/27 16:00:00+00,0,Kirk Road,DWCP,8e597d96-1b27-4f5c-9c3e-c92f9edfd2e2
17030377.95,-3143217.099,20,BUR_014,Open,Flooded,Old Bay Road,at Childs Drive,BURPENGARY EAST,2022/02/27 15:45:00+00,0,Old Bay Road,DWCP,cf86de87-8c5f-462f-99e0-9de9419bb836
17017189.95,-3134101.562,21,CAB_090,Open,Flooded,Jackson Road,at Bellmere Road end,BELLMERE,2022/05/23 09:30:00+00,0,Jackson Road,DWCP,711d8e56-c1d5-46a0-a970-14e12a2ef220
17021447.29,-3151652.665,22,SID_017,Open,Flooded,Shea Road,,KURWONGBAH,2020/02/26 05:00:00+00,0,Shea Road,DWCP,eea5619a-b494-4287-959e-9fa3d378e9c8
17015099.97,-3130563.817,23,CAB_054,Open,Flooded,W Lindsay Road,at Nicholson Road,WAMURAN,2022/05/12 15:45:00+00,0,W Lindsay Road,DWCP,bce4ae89-c283-4775-bc62-6fe4c59560d8
17028508.85,-3149306.367,24,HAY_008,Open,Flooded,McPhail Road,at Hall Road,NARANGBA,2021/12/01 06:45:00+00,0,McPhail Road,DWCP,0a8bb44c-3cc9-4044-971a-426f1904d6fd
17033799.93,-3145893.236,25,BUR_011,Open,Flooded,Thompson Street, ,DECEPTION BAY,2022/02/27 21:00:00+00,0,Thompson Street,DWCP,adcc25a1-4439-4920-b2ce-d2372dc12a6b
17030213.91,-3151867.508,26,HAY_001,Open,Flooded,Alma Road,between Gunsynd Drive and Old Gympie Road,DAKABIN,2020/02/26 05:00:00+00,0,"Alma Road between Gunsynd Drive and Old Gympie Road, DAKABIN",DWCP,533b0817-e2eb-40e3-ba94-a10661adc5e4
17025485.73,-3132378.071,27,CAB_091,Open,Flooded,Tomlinson Road,,CABOOLTURE,2022/05/12 04:00:00+00,0,Tomlinson Road,DWCP,1427d984-4480-476f-810c-06f522561374
17032065.87,-3152414.533,28,HAY_022,Open,Flooded,Kerr Road,,DAKABIN,2020/02/26 05:00:00+00,0,"Kerr Road, DAKABIN",DWCP,ddcb8030-0aa0-479a-ad19-6efc8f01a419
